92:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.28s	remaining: 2.62s
93:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.3s	remaining: 2.59s
94:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.32s	remaining: 2.57s
95:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.34s	remaining: 2.54s
96:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.37s	remaining: 2.51s
97:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.39s	remaining: 2.49s
98:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.41s	remaining: 2.46s
99:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.43s	remaining: 2.43s
100:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.46s	remaining: 2.41s
101:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.48s	remaining: 2.38s
102:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.5s	remaining: 2.35s
103:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.52s	remaining: 2.33s
104:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.55s	remaining: 2.3s
105:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.57s	remaining: 2.28s
106:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.59s	remaining: 2.25s
107:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.62s	remaining: 2.23s
108:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.64s	remaining: 2.2s
109:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.66s	remaining: 2.18s
110:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.68s	remaining: 2.15s
111:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.71s	remaining: 2.13s
112:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 2.73s	remaining: 2.1s
113:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.75s	remaining: 2.07s
114:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 2.77s	remaining: 2.05s
115:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 2.79s	remaining: 2.02s
116:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 2.81s	remaining: 2s
117:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.84s	remaining: 1.97s
118:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 2.86s	remaining: 1.95s
119:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 2.88s	remaining: 1.92s
120:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.9s	remaining: 1.9s
121:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.92s	remaining: 1.87s
122:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.95s	remaining: 1.84s
123:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 2.97s	remaining: 1.82s
124:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.99s	remaining: 1.79s
125:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 3.01s	remaining: 1.77s
